,Party,https://www.govtrack.us/congress/votes/80-1948/s139,https://www.govtrack.us/congress/votes/80-1948/s140,https://www.govtrack.us/congress/votes/80-1948/s141,https://www.govtrack.us/congress/votes/80-1948/s142,https://www.govtrack.us/congress/votes/80-1948/s143,https://www.govtrack.us/congress/votes/80-1948/s144,https://www.govtrack.us/congress/votes/80-1948/s145,https://www.govtrack.us/congress/votes/80-1948/s146,https://www.govtrack.us/congress/votes/80-1948/s147,https://www.govtrack.us/congress/votes/80-1948/s148,https://www.govtrack.us/congress/votes/80-1948/s149,https://www.govtrack.us/congress/votes/80-1948/s150,https://www.govtrack.us/congress/votes/80-1948/s151,https://www.govtrack.us/congress/votes/80-1948/s152,https://www.govtrack.us/congress/votes/80-1948/s153,https://www.govtrack.us/congress/votes/80-1948/s154,https://www.govtrack.us/congress/votes/80-1948/s155,https://www.govtrack.us/congress/votes/80-1948/s156,https://www.govtrack.us/congress/votes/80-1948/s157,https://www.govtrack.us/congress/votes/80-1948/s158,https://www.govtrack.us/congress/votes/80-1948/s159,https://www.govtrack.us/congress/votes/80-1948/s160,https://www.govtrack.us/congress/votes/80-1948/s161,https://www.govtrack.us/congress/votes/80-1948/s162,https://www.govtrack.us/congress/votes/80-1948/s163,https://www.govtrack.us/congress/votes/80-1948/s164,https://www.govtrack.us/congress/votes/80-1948/s165,https://www.govtrack.us/congress/votes/80-1948/s166,https://www.govtrack.us/congress/votes/80-1948/s167,https://www.govtrack.us/congress/votes/80-1948/s168,https://www.govtrack.us/congress/votes/80-1948/s169,https://www.govtrack.us/congress/votes/80-1948/s170,https://www.govtrack.us/congress/votes/80-1948/s171,https://www.govtrack.us/congress/votes/80-1948/s172,https://www.govtrack.us/congress/votes/80-1948/s173,https://www.govtrack.us/congress/votes/80-1948/s174,https://www.govtrack.us/congress/votes/80-1948/s175,https://www.govtrack.us/congress/votes/80-1948/s176,https://www.govtrack.us/congress/votes/80-1948/s177,https://www.govtrack.us/congress/votes/80-1948/s178,https://www.govtrack.us/congress/votes/80-1948/s179,https://www.govtrack.us/congress/votes/80-1948/s180,https://www.govtrack.us/congress/votes/80-1948/s181,https://www.govtrack.us/congress/votes/80-1948/s182,https://www.govtrack.us/congress/votes/80-1948/s183,https://www.govtrack.us/congress/votes/80-1948/s184,https://www.govtrack.us/congress/votes/80-1948/s185,https://www.govtrack.us/congress/votes/80-1948/s186,https://www.govtrack.us/congress/votes/80-1948/s187,https://www.govtrack.us/congress/votes/80-1948/s188,https://www.govtrack.us/congress/votes/80-1948/s189,https://www.govtrack.us/congress/votes/80-1948/s190,https://www.govtrack.us/congress/votes/80-1948/s191,https://www.govtrack.us/congress/votes/80-1948/s192,https://www.govtrack.us/congress/votes/80-1948/s193,https://www.govtrack.us/congress/votes/80-1948/s194,https://www.govtrack.us/congress/votes/80-1948/s195,https://www.govtrack.us/congress/votes/80-1948/s196,https://www.govtrack.us/congress/votes/80-1948/s197,https://www.govtrack.us/congress/votes/80-1948/s198,https://www.govtrack.us/congress/votes/80-1948/s199,https://www.govtrack.us/congress/votes/80-1948/s200,https://www.govtrack.us/congress/votes/80-1948/s201,https://www.govtrack.us/congress/votes/80-1948/s202,https://www.govtrack.us/congress/votes/80-1948/s203,https://www.govtrack.us/congress/votes/80-1948/s204,https://www.govtrack.us/congress/votes/80-1948/s205,https://www.govtrack.us/congress/votes/80-1948/s206,https://www.govtrack.us/congress/votes/80-1948/s207,https://www.govtrack.us/congress/votes/80-1948/s208,https://www.govtrack.us/congress/votes/80-1948/s209,https://www.govtrack.us/congress/votes/80-1948/s210,https://www.govtrack.us/congress/votes/80-1948/s211,https://www.govtrack.us/congress/votes/80-1948/s212,https://www.govtrack.us/congress/votes/80-1948/s213,https://www.govtrack.us/congress/votes/80-1948/s214,https://www.govtrack.us/congress/votes/80-1948/s215,https://www.govtrack.us/congress/votes/80-1948/s216,https://www.govtrack.us/congress/votes/80-1948/s217,https://www.govtrack.us/congress/votes/80-1948/s218,https://www.govtrack.us/congress/votes/80-1948/s219,https://www.govtrack.us/congress/votes/80-1948/s220,https://www.govtrack.us/congress/votes/80-1948/s221,https://www.govtrack.us/congress/votes/80-1948/s222,https://www.govtrack.us/congress/votes/80-1948/s223,https://www.govtrack.us/congress/votes/80-1948/s224,https://www.govtrack.us/congress/votes/80-1948/s225,https://www.govtrack.us/congress/votes/80-1948/s226,https://www.govtrack.us/congress/votes/80-1948/s227,https://www.govtrack.us/congress/votes/80-1948/s228,https://www.govtrack.us/congress/votes/80-1948/s229,https://www.govtrack.us/congress/votes/80-1948/s230,https://www.govtrack.us/congress/votes/80-1948/s231,https://www.govtrack.us/congress/votes/80-1948/s232,https://www.govtrack.us/congress/votes/80-1948/s233,https://www.govtrack.us/congress/votes/80-1948/s234,https://www.govtrack.us/congress/votes/80-1948/s235,https://www.govtrack.us/congress/votes/80-1948/s236,https://www.govtrack.us/congress/votes/80-1948/s237,https://www.govtrack.us/congress/votes/80-1948/s238,https://www.govtrack.us/congress/votes/80-1948/s239,https://www.govtrack.us/congress/votes/80-1948/s240,https://www.govtrack.us/congress/votes/80-1948/s241,https://www.govtrack.us/congress/votes/80-1948/s242,https://www.govtrack.us/congress/votes/80-1948/s243,https://www.govtrack.us/congress/votes/80-1948/s244,https://www.govtrack.us/congress/votes/80-1948/s245,https://www.govtrack.us/congress/votes/80-1948/s246,https://www.govtrack.us/congress/votes/80-1948/s247,https://www.govtrack.us/congress/votes/80-1948/s248
"Sen. Dennis Chavez [D, 1935-1962]",D,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,1.0,0.5,1.0,0.5,0.0,1.0,0.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.5,0.5,0.5,0.0,0.5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,1.0,1.0,1.0,0.0,0.5,0.5,1.0,0.5,1.0,0.5,1.0,0.5,1.0,1.0,0.0,0.0,0.5,0.0,1.0,0.5,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"Sen. Edward Martin [R, 1947-1958]",R,0.5,0.5,0.5,0.5,0.0,1.0,0.5,0.0,0.5,0.5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
"Sen. Carl Hatch [D, 1933-1948]",D,0.5,0.5,0.5,0.5,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,0.0,0.0
"Sen. Homer Ferguson [R, 1943-1954]",R,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
"Sen. Absalom Robertson [D, 1946-1966]",D,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.5,1.0,1.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,1.0,0.0,0.5,0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5
"Sen. James Kem [R, 1947-1952]",R,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5
"Sen. Burnet Maybank [D, 1941-1954]",D,0.5,0.5,0.5,0.5,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
"Sen. John Bricker [R, 1947-1958]",R,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5,1.0,0.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,1.0,0.5
"Sen. Joseph Hill [D, 1938-1968]",D,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
"Sen. Joseph McCarthy [R, 1947-1957]",R,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.5,0.5,0.5,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,0.0,1.0,0.5,0.5,0.5,0.5,0.0,0.0,1.0,1.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
"Sen. Eugene Millikin [R, 1941-1956]",R,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
"Sen. Claude Pepper [D, 1936-1950]",D,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
"Sen. Ralph Brewster [R, 1941-1952]",R,1.0,0.0,0.5,0.5,0.5,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5,0.5,1.0,1.0,0.5,1.0,0.0,0.0,0.5,0.5,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,1.0,1.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0
"Sen. Kenneth Wherry [R, 1943-1951]",R,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
